,Date,Result
1470,13542.0,
1471,13543.0,
1472,13544.0,
1473,13545.0,7.56
1474,13546.0,
1475,13547.0,
1476,13548.0,
1477,13549.0,
1478,13550.0,
1479,13551.0,7.06
1480,13552.0,
1481,13553.0,
1482,13554.0,
1483,13555.0,
1484,13556.0,
1485,13557.0,
1486,13558.0,
1487,13559.0,8.61
1488,13560.0,
1489,13561.0,
1490,13562.0,
1491,13563.0,
1492,13564.0,
1493,13565.0,
1494,13566.0,7.84
1495,13566.0,7.72
1496,13567.0,
1497,13568.0,
1498,13569.0,
1499,13570.0,
1500,13571.0,
1501,13572.0,7.12
1502,13573.0,
1503,13574.0,
1504,13575.0,
1505,13576.0,
1506,13577.0,
1507,13578.0,5.88
1508,13579.0,
1509,13580.0,
1510,13581.0,
1511,13582.0,
1512,13583.0,
1513,13584.0,
1514,13585.0,
1515,13586.0,6.81
1516,13587.0,
1517,13588.0,
1518,13589.0,
1519,13590.0,
1520,13591.0,
1521,13592.0,
1522,13593.0,6.86
1523,13594.0,
1524,13595.0,
1525,13596.0,
1526,13597.0,
1527,13598.0,
1528,13599.0,5.08
1529,13600.0,4.51
1530,13601.0,
1531,13602.0,
1532,13603.0,
1533,13604.0,
1534,13605.0,
1535,13606.0,
1536,13607.0,3.68
1537,13608.0,
1538,13609.0,
1539,13610.0,
1540,13611.0,
1541,13612.0,
1542,13613.0,
1543,13614.0,2.61
1544,13615.0,
1545,13616.0,
1546,13617.0,
1547,13618.0,
1548,13619.0,
1549,13620.0,
1550,13621.0,1.78
1551,13622.0,
1552,13623.0,
1553,13624.0,
1554,13625.0,
1555,13626.0,
1556,13627.0,
1557,13628.0,1.49
1558,13629.0,
1559,13630.0,1.4
1560,13631.0,
1561,13632.0,
1562,13633.0,
1563,13634.0,
1564,13635.0,1.44
1565,13636.0,
1566,13637.0,
1567,13638.0,
1568,13639.0,
1569,13640.0,
1570,13641.0,
1571,13642.0,1.77
1572,13643.0,
1573,13644.0,
1574,13645.0,
1575,13646.0,
1576,13647.0,
1577,13648.0,
1578,13649.0,16.5
1579,13650.0,
1580,13651.0,
1581,13652.0,
1582,13653.0,
1583,13654.0,
1584,13655.0,7.3
1585,13656.0,
1586,13657.0,
1587,13658.0,
1588,13659.0,
1589,13660.0,
1590,13661.0,
1591,13662.0,
1592,13663.0,15.9
1593,13664.0,
1594,13665.0,
1595,13666.0,
1596,13667.0,
1597,13668.0,
1598,13669.0,
1599,13670.0,4.52
1600,13670.0,4.61
1601,13671.0,
1602,13672.0,
1603,13673.0,
1604,13674.0,
1605,13675.0,
1606,13676.0,
1607,13677.0,2.75
1608,13678.0,
1609,13679.0,
1610,13680.0,
1611,13681.0,
1612,13682.0,
1613,13683.0,
1614,13684.0,
1615,13685.0,4.78
1616,13686.0,
1617,13687.0,
1618,13688.0,
1619,13689.0,
1620,13690.0,
1621,13691.0,5.92
1622,13692.0,
1623,13693.0,
1624,13694.0,
1625,13695.0,
1626,13696.0,
1627,13697.0,
1628,13698.0,
1629,13699.0,
1630,13700.0,
1631,13701.0,
1632,13702.0,
1633,13703.0,
1634,13704.0,
1635,13705.0,
